nom,prix,devise,supermarche,categorie,categorie_description,zone
Fèves fraîches,2.875,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Tomate Cocktail ,3.3,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Radis rose,2.3,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Champignon entier ,20.0,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Piment fort rouge,3.45,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Salade rouge ,2.3,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Salade verte ,2.07,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Cornichon,4.025,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Roquette en barquette,5.9,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Epinard en barquette,7.0,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Courge ronde,2.07,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Fenouil sans fanes,5.6,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Tomate allongée ,1.495,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Potiron coupé emballé,9.9,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Pomme de terre douce,6.9,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Poivron carré,6.9,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Poireau,3.45,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Piment Baklouti,2.875,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Piment fort,3.33,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Oignon rouge sans fanes,1.495,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Oignon Rebii demi fanes,2.99,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Navet demi fanes,2.3,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Haricot vert,11.5,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Épinard,4.6,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Courgette,4.6,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Carotte sans fanes,2.875,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Betterave,3.45,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Chou-rave,3.45,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Aubergine,4.6,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Ail sec,11.5,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Pois chiche,10.9,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Lentilles vertes,9.5,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Haricot Lingot,9.5,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Tomate cerise en barquette,5.9,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Brocoli en barquette,13.5,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Pois chiches trempés,3.6,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Tomate cerise en barquette,5.9,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Persil haché en barquette,2.0,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Haricot blanc prêt à cuir ,3.5,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Courge nettoyée en barquette,3.3,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Salade Contadina,4.5,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Piments séchés,5.92,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Roquette fraiche en barquette,5.9,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Haricot vert en barquette,11.2,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Epinard en barquette ,6.9,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Oignon en barquette,4.9,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Ail pelé ,5.1,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Chou rouge,2.3,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Blette,0.57,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Basilic,3.45,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Laitue iceberg,2.3,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Menthe fraiche,0.8,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Persil,0.57,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Laitue,1.15,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Pois chiches ,9.66,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Lentilles rouges,7.99,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Lentilles vertes,9.99,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Haricots,7.19,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Pois chiches,9.99,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Haricots blancs,9.99,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Maïs ,3.86,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Brocoli en barquette,14.4,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Chou vert,1.725,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Chou fleur,2.875,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Céleri,0.57,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Chou brocoli,11.5,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Oignon blanc en barquette,4.9,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Artichaut blanc,2.3,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Artichaud violet,3.45,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Petit pois,5.75,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Piment doux,3.33,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Carottes sans fanes,1.61,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Concombre,5.75,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Pomme de terre,1.84,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Oignon blanc,1.495,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Pâte de dattes,3.29,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Dattes standard ,2.98,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Dattes standard ,4.99,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Dattes standard ,7.99,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Dattes branchées,6.99,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Dattes branchées,11.99,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Coffret cadeau dattes ,20.0,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Coffret cadeau dattes ,13.5,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Dattes branchées,11.5,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Dattes branchées,7.9,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Oranges double fine AA,4.6,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Mandarines w Murcott ,3.335,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Châtaigne ,19.55,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Pomme Golden moyen calibre ,3.9,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Pomme rouge petit calibre,6.9,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Pomme rouge grand calibre,8.0,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Fraises en barquette,11.5,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Orange Valencia grand calibre,6.325,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Myrtille en barquette,9.9,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Thomson B,3.5,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Orange Moro,2.59,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Mandarine Murkott,3.56,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Dattes branchées,6.5,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Orange Navel ,99.0,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Pomme rouge,4.5,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Dattes branchées en barquette,13.9,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Dattes branchées,14.5,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Dattes en ravier,3.9,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Dattes branchées,15.0,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Dattes branchées Nour,10.9,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Gingembre frais,28.75,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Dattes branchées,7.9,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Dattes branchées Deglet Nour Bio,7.99,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Dattes naturelles en branche Deglet Nour,12.55,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Dattes branchées,23.5,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Datte standard en ravier,1.99,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Datte branchée en barquette,7.49,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Datte branchée,4.5,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Datte branchée,7.9,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Ananas,11.5,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Dattes branchées bouquet,10.9,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Pomme rouge,6.9,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Citron,1.38,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Mangue,16.1,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Avocat Dolce,5.75,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Ananas,7.99,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Citron en filet,0.98,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Kiwi,1.59,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Pomme Anna ,3.45,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Clémentine ,2.53,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Clémentines en filet,3.45,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Framboise en barquette,12.5,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Thomson sanguine,2.59,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Orange Thomson New Hall grand calibre,2.59,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Grenades moyen calibre,5.75,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Orange douce AA,2.59,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Kiwi jaune gold,1.59,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Grenade grand calibre,5.75,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Fruits de la passion,2.875,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Pomme royal gala moyen calibre,5.75,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Pommes Golden grand calibre,5.175,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Orange maltaise à jus,1.38,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Clémentine Cassar,2.875,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Tunis
Bergamote ,7.99,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Sousse
Orange sakasli,2.59,TND,Carrefour,Fruits et Légumes,Produits frais de saison,Carrefour Ariana
Pack mlewi indien Parathas,4.29,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Pain chawarma nature ,3.99,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Pain libanais,1.555,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Pain panini précuit,1.7,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Pain tortilla tacos,4.29,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Pain chwarma complet,2.69,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Pain chawarma,1.555,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Petit pain complet,2.35,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Mini tabouna nature ,0.25,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Pain TACOS max original,8.49,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Pain TACOS original,5.48,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Pain tortilla blé complet ,11.28,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Mlawi,4.0,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Pain burger nature au sésame,2.39,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Pain burger nature,2.5,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Le lot de 5 Pains burger nature ,3.5,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Pain burger buns au blé complet,2.39,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Pain burger buns Multicéréales,2.45,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Le lot de 2 Pains Burger complet multi-graines,1.43,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Pain Burger aux graines de sésame,1.07,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Pain Burger nature,1.05,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Pain de mie nature,2.1,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Pain de campagne,2.4,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Pain hamburger,2.5,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Pain oriental complet,2.4,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Pain oriental,2.4,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Pain libanais 15cm,1.3,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Pain semoule,0.75,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Pain chawarma,3.8,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Pain de campagne ,1.7,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Baguette à la semoule,0.8,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Pain burger aux sésames,2.45,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Pain libanais nature,1.72,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Pain à l'ancienne,3.5,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Petit pain viennois nature,3.5,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Pain libanais 28cm,2.5,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Baguette allégée en sel,1.0,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Pain aux 6 céréales,1.2,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Baguette au son,0.75,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Pain à la semoule,0.75,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Pain sans sel,0.75,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Pain complet ,1.05,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Baguette de campagne,1.1,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Pain au son sans sel,0.55,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Baguette au son,0.75,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Pain flûte,0.75,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Pain libanais complet 21cm,2.1,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Baguette au son,0.7,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Pain au son ,1.1,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Baguette sans sel,0.5,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Baguette complète  ,1.1,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Pain aux céréales,1.6,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Pain de mie nature margarine,1.9,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Déjeunette cuite,1.1,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Boule de campagne,2.8,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Boule blanche,1.1,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Pain libanais 22cm,2.1,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Pain précuit,2.1,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Déjeunette complet,1.2,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Pain complet intégral,1.4,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Pain Pavé,1.1,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Baguette aux céréales,1.2,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Tabouna traditionnelle,0.7,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Baguette sans sel ,0.5,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Baguette complète,0.8,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Baguette au son ,0.6,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Chapelure,1.39,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Pain au chocolat à la pièce,0.95,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Chocolatine ,3.7,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Pain au chocolat,3.5,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
 Chocolatine,1.9,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Croissants nature,9.9,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Mini viennoiserie,6.4,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Brioche couronne des rois,9.9,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
La brioche Nanterre,4.5,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Croissants,1.8,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Croissants nature,5.9,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Croissants,3.98,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Briochette nature pur beurre,2.1,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Brioche Nanterre nature pur beurre,16.9,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Pain au chocolat pur beurre,8.7,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Pain au chocolat pur beurre,4.4,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Croissant au pur beurre,4.0,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Croissant au pur beurre,7.9,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Schneck au lait pur beurre,3.1,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Ariana
Pain aux raisins pur beurre,3.6,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Tunis
Mini viennoiserie au pur beurre,5.55,TND,Carrefour,Boulangerie,"Pain, viennoiseries",Carrefour Sousse
Bâtonnets de poisson panés,10.39,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Tunis
Shawarma de dinde surgelée,12.99,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Sousse
 Nuggets CROKIDS,9.38,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Ariana
Gordon bleu,9.75,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Tunis
Nugets de poulet,6.85,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Sousse
Croquido ,6.82,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Ariana
Kefta de dinde,4.74,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Tunis
Croque pizza Croustillante,5.99,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Sousse
Escalope de poulet panée,13.95,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Ariana
Escalope  de dinde panée,12.23,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Tunis
Hamburger de dinde,8.99,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Sousse
Escalope de poulet panée,28.5,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Ariana
Burger pané,8.28,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Tunis
Nuggets de poulet,9.5,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Sousse
Burger à la viande de dinde kwika,3.89,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Ariana
Kefta de dinde CHAHIA,4.22,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Tunis
Viande Hamburger,17.98,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Sousse
Chicken nuggets,10.99,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Ariana
Chicken popcorn,9.28,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Tunis
Steak haché de beauf ,9.19,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Sousse
Hamburger de dinde,17.9,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Ariana
Cordon bleu,12.29,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Tunis
Chicken Nuggets,8.49,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Sousse
Chicken Nuggets,11.3,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Ariana
Kefta de dinde,5.78,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Tunis
Cordon bleu,8.25,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Sousse
Boulette de dinde,5.99,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Ariana
Roulé au Fromage,7.19,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Tunis
Steak haché de bœuf SADIA,26.29,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Sousse
Cordon bleu,9.99,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Ariana
Kabeb de dinde CUISTO,7.69,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Tunis
Chicken nuggets,6.1,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Sousse
Chiken Fries Mini Chef,12.79,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Ariana
Steak haché de poulet,7.23,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Tunis
Nuggets de poulet crispy kids,9.12,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Sousse
Cordon bleu,10.39,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Ariana
Cordon bleu,10.49,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Tunis
Nuggets de poulet,8.79,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Sousse
Escalope de poulet pannée,8.99,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Ariana
Nuggets de poulet,8.78,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Tunis
Crevettes décortiquées congelées,29.59,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Tunis
Salade de fruits de mer ,15.89,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Sousse
Filet de poisson ,19.69,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Ariana
Moules demi coquille ,24.9,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Tunis
Chevrettes pannées,29.9,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Sousse
Seiche ,8.0,TND,Carrefour,Viandes et Poissons,Produits frais,Carrefour Ariana
