nom,prix,devise,supermarche,categorie,categorie_description,zone
Pain de mie nature,"2,290 DT",DT,GeantDrive,Boulangerie,"Pain, viennoiseries",Tunis
Pain de mie complet,"2,290 DT",DT,GeantDrive,Boulangerie,"Pain, viennoiseries",Tunis
Pain hamburguer,"2,300 DT",DT,GeantDrive,Boulangerie,"Pain, viennoiseries",Tunis
Petit pain viennois,"2,345 DT",DT,GeantDrive,Boulangerie,"Pain, viennoiseries",Tunis
Buns complet,"2,390 DT",DT,GeantDrive,Boulangerie,"Pain, viennoiseries",Tunis
Pain chawarma,"2,400 DT",DT,GeantDrive,Boulangerie,"Pain, viennoiseries",Tunis
Pain chawarma,"2,400 DT",DT,GeantDrive,Boulangerie,"Pain, viennoiseries",Tunis
Pain hamburguer,"2,450 DT",DT,GeantDrive,Boulangerie,"Pain, viennoiseries",Tunis
Poulet pac,"8,850 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Poulet pac,"9,800 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Haut de cuisse de poulet,"13,900 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Cuisse de poulet,"14,100 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Cuisse de dinde,"14,200 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Cuisses de poulet,"15,900 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Pilon de poulet,"18,100 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Escalope de dinde,"18,950 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Steak de dinde,"18,950 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Escalope de poulet,"20,000 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Steak de dinde,"21,000 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Escalope de dinde,"21,000 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Filet de dinde,"21,000 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Abat de poulet,"21,300 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Escalope de poulet,"22,200 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Abat de dinde,"24,100 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Merguez de bœuf,"29,990 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Bourguignon de veau,"45,900 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Viande hachée de veau,"47,900 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Bifteck 1ère catégorie...,"47,900 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Entrecôte de veau,"47,900 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Emince de veau,"47,900 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Bœuf à fondue de veau,"47,900 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Faux filet de veau,"48,200 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Jarret sans os de veau,"49,900 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Sbares kerkennah,"10,900 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Daurade semi-élevage m...,"19,990 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Loup semi-élevage,"24,500 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Seiche noire,"26,300 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Pageot (Morjane),"26,900 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Maigre d'élevage,"29,990 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Rouget rouge,"32,900 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Poulpe de sable Boumesk,"35,800 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Rouget de roche,"40,900 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Calamar,"44,900 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
Soles (Mdess),"47,600 DT/ Kg",DT,GeantDrive,Viandes et Poissons,Produits frais,Tunis
